센터 번호,센터명,우편번호,주소1,대표전화번호,홈페이지
52,인천광역시청소년상담복지센터,22573,인천광역시 동구,032-721-2300,www.inyouth.or.kr
53,인천중구청소년상담복지센터,22408,인천광역시 중구,032-773-1318,www.junggu1388.kr
54,인천중구동인천청소년상담복지센터,22309,인천광역시 중구,032-773-1318,www.junggu1388.kr
55,인천동구청소년상담복지센터,22543,인천광역시 동구,032-777-1389,www.dream1388.or.kr
56,인천미추홀구청소년상담복지센터,22136,인천광역시 미추홀구,032-728-6835,https://www.michu1388.or.kr
57,인천연수구청소년상담복지센터,21936,인천광역시 연수구,032-819-7308,www.ysyouth.or.kr
58,인천남동구청소년상담복지센터,21589,인천광역시 남동구,032-471-1388,http://nd1388.or.kr
59,인천부평구청소년상담복지센터,21387,인천광역시 부평구,032-509-8910,http://portal.icbp.go.kr/1388/
60,인천계양구청소년상담복지센터,21026,인천광역시 계양구,032-547-0856,www.gyeyang1388.or.kr
61,인천서구청소년상담복지센터,22819,인천광역시 서구,032-584-1388,www.sg1388.or.kr
62,인천강화군청소년상담복지센터,23033,인천광역시 강화군,032-933-1388,
63,광주광역시청소년상담복지센터,61475,광주광역시 동구,062-232-2000,http://www.gj1388.or.kr/main/index.php
64,광주동구청소년상담복지센터,61482,광주광역시 동구,062-229-3308,www.dg1388.com
65,광주서구청소년상담복지센터,61966,광주광역시 서구 상무오월로 23 (쌍촌동),062-375-1388,http://www.happy1388.com/html/
66,광주남구청소년상담복지센터,61727,광주광역시 남구,062-675-1388,http://www.1388namgu.or.kr/
67,광주북구청소년상담복지센터,61132,광주광역시 북구,062-268-1388,www.ok1388.kr
68,광주광산구청소년상담복지센터,62363,광주광역시 광산구,062-951-1380,www.gsg1388.or.kr 
69,대전광역시청소년상담복지센터,34630,대전광역시 동구,042-257-2000,www.dj1388.or.kr
70,대전서구청소년상담복지센터,35334,대전광역시 서구,042-527-3112,http://www.sgy1388.or.kr
71,대전유성구청소년상담복지센터,34097,대전광역시 유성구,042-862-7942,counsel.happyyc1318.or.kr
72,울산광역시청소년상담복지센터,44532,울산광역시 중구,052-227-2000,www.counteen.or.kr
73,울산남구청소년상담복지센터,44692,울산광역시 남구,052-291-1388,www.ulsannamgu.go.kr/1388/
74,울산동구청소년상담복지센터,44070,울산광역시 동구 대학길 59 (화정동),052-233-5279,www.friend5279.or.kr
75,울산북구청소년상담복지센터,44224,울산광역시 북구,052-283-1390,www.bukgu1388.or.kr
76,울산울주군청소년상담복지센터,45006,울산광역시 울주군,052-229-9630,www.ulju1388.or.kr
77,울산울주군중부청소년상담복지센터,44920,울산광역시 울주군,052-229-9651,www.ulju1388.or.kr
78,세종특별자치시청소년상담복지센터,30024,세종특별자치시,044-867-2000,www.sj1388.or.kr
79,경기도청소년상담복지센터,16305,경기도 수원시 장안구,031-248-1318,www.hi1318.or.kr
80,수원시청소년상담복지센터,16486,경기도 수원시 팔달구,031-218-0444,http://www.syf.or.kr
81,성남시청소년상담복지센터,13438,경기도 성남시 중원구,031-729-9100,www.sn1388.or.kr
82,의정부시청소년상담복지센터,11622,경기도 의정부시,031-872-1388,https://www.uiyouth.or.kr/welfare/main/main.ui
83,안양시청소년상담복지센터,13997,경기도 안양시 만안구,031-446-1243,http://www.ayf.or.kr
84,부천시청소년상담복지센터,14596,경기도 부천시,032-325-3002,www.bwyf.or.kr/mindclick
85,광명시청소년상담복지센터,14241,경기도 광명시,02-809-2000,https://www.gmyouth.org/training_center/welfarecounseling.do
86,평택시청소년상담복지센터,17903,경기도 평택시,031-654-1388,www.pt1318.co.kr
87,동두천시청소년상담복지센터,11362,경기도 동두천시,031-865-0785,http://1388.tistory.com
88,안산시청소년상담복지센터,15387,경기도 안산시 단원구,031-482-3181,www.aycc.org
89,고양시청소년상담복지센터,10512,경기도 고양시,031-995-4269,https://www.gcyf.or.kr/sb/
90,과천시청소년상담복지센터,13828,경기도 과천시,02-502-1318,www.gc1318.or.kr
91,구리시청소년상담복지센터,11922,경기도 구리시,031-557-2000,https://www.guriyouth.go.kr/1388/131
92,남양주시청소년상담복지센터,12244,경기도 남양주시,031-590-8098,https://www.nyj.go.kr/main/1396
93,오산시청소년상담복지센터,18136,경기도 오산시,031-372-4004,www.osan1318.or.kr
94,시흥시청소년상담복지센터,14914,경기도 시흥시,031-318-7100,www.shyc.or.kr
95,시흥시정왕청소년상담복지센터,15049,경기도 시흥시,031-318-7101,www.shyc.or.kr
96,군포시청소년상담복지센터,15823,경기도 군포시,031-398-1277,https://www.gpyf.or.kr/gpsp/index.do
97,의왕시청소년상담복지센터,16077,경기도 의왕시,031-458-5037,https://www.uyf.or.kr/uw1388/388
98,하남시청소년상담복지센터,12919,경기도 하남시,031-790-6681,https://www.hanam.go.kr/www/contents.do?key=5940
99,용인시청소년상담복지센터,17019,경기도 용인시 처인구,031-324-9300,www.yiyf.or.kr/yongin1318
100,파주시청소년상담복지센터,10894,경기도 파주시,031-540-5300,https://www.pcy.or.kr/sd/main.php
101,이천시청소년상담복지센터,17371,경기도 이천시,031-8011-3120,http://www.icfyouth.or.kr/
102,안성시청소년상담복지센터,17591,경기도 안성시,031-676-1318,www.an1318.or.kr
103,김포시청소년상담복지센터,10099,경기도 김포시,031-980-1681,https://www.fgy.or.kr/ssac1388
104,화성시청소년상담복지센터,12779,경기도 화성시,031-225-1318,www.mars1318.or.kr
105,광주시청소년상담복지센터,12779,경기도 광주시,031-762-2219,www.ggj1388.or.kr/
106,양주시청소년상담복지센터,11469,경기도 양주시,031-8082-4121,https://www.yangju.go.kr/yj1318/index.do
107,포천시청소년상담복지센터,11184,경기도 포천시,031-533-1318,https://www.pocheon.go.kr/counsel/index.do
108,여주시청소년상담복지센터,12623,경기도 여주시,031-886-0543,http://youth.yeoju.go.kr
109,연천군청소년상담복지센터,11026,경기도 연천군,031-839-2000,www.yc1388.or.kr
110,가평군청소년상담복지센터,12452,경기도 가평군,031-582-2000,http://www.gp1318.com/
111,양평군청소년상담복지센터,12556,경기도 양평군,031-775-1318,http://www.yp1388.co.kr/
112,강원특별자치도청소년상담복지센터,24270,강원특별자치도 춘천시 중앙로 14 (요선동),033-256-2000,www.gycc.org
113,춘천시청소년상담복지센터,24400,강원특별자치도 춘천시 동내면 외솔길19번길 45,033-818-1389,http://www.cool1388.com/
114,원주시청소년상담복지센터,26475,강원특별자치도 원주시 서원대로 234 (단계동),033-744-1388,www.wonju1388.kr
115,강릉시청소년상담복지센터,25474,강원특별자치도 강릉시 종합운동장길 72-21 (교동),033-646-8666,https://www.gn1388.or.kr/
116,동해시청소년상담복지센터,25735,강원특별자치도 동해시 부곡1길 6 (부곡동),033-532-3070,http://www.dhyc.or.kr/counsel/04.htm
117,태백시청소년상담복지센터,26044,강원특별자치도 태백시 태백로 1663 (문곡동),033-582-1387,www.tb1388.kr
118,속초시청소년상담복지센터,24867,강원특별자치도 속초시 관광로 377 (노학동),033-633-0741,www.sokcho1388.org
119,삼척시청소년상담복지센터,25919,강원특별자치도 삼척시 엑스포로 50-1 (성남동),070-4469-7735,http://scc1388.co.kr/
120,홍천군청소년상담복지센터,25131,강원특별자치도 홍천군 홍천읍 산림공원2길 31,033-433-1386,www.hcyc1388.org
121,횡성군청소년상담복지센터,25236,강원특별자치도 횡성군 횡성읍 문예로 75,033-344-1388,https://hsg1388.modoo.at/
122,영월군청소년상담복지센터,26237,강원특별자치도 영월군 영월읍 제방안길 100,033-375-1328,www.kyw1318.or.kr
123,평창군청소년상담복지센터,25377,강원특별자치도 평창군 평창읍 종부로 61,033-335-0924,http://www.pc1388.or.kr/aKor/index.php
124,정선군청소년상담복지센터,26150,강원특별자치도 정선군 사북읍 사북6길 12-6,033-591-1311,http://ycwc.jsyouth.or.kr/
125,철원군청소년상담복지센터,24037,강원특별자치도 철원군 갈말읍 명성로139번길 52,033-450-5622,https://www.cwg.go.kr/youth/contents.do?key=924
126,충청북도청소년상담복지센터,28516,충청북도 청주시 상당구,043-220-6826,http://1388.cbyouth.net
127,청주시청소년상담복지센터,28543,충청북도 청주시 상당구,043-223-0755,www.cj1388.or.kr
128,서청주청소년상담복지센터,28436,충청북도 청주시 흥덕구,043-297-8806,http://www.1388cw.or.kr/
129,충주시청소년상담복지센터,27411,충청북도 충주시,043-856-7804,www.chungstar.org
130,제천시청소년상담복지센터,27152,충청북도 제천시,043-642-7939,www.jc1318.or.kr
131,보은군청소년상담복지센터,28936,충청북도 보은군,043-542-1388,www.boeun1388.or.kr
132,옥천군청소년상담복지센터,29040,충청북도 옥천군,043-731-1388,www.oc.go.kr/youth/index.do
133,영동군청소년상담복지센터,29149,충청북도 영동군,043-740-3968,www.yd1388.or.kr
134,증평군청소년상담복지센터,27948,충청북도 증평군,043-835-4189,www.jp1388.or.kr
135,진천군청소년상담복지센터,27832,충청북도 진천군,043-536-3430,https://www.jincheon.go.kr/youth/counsel/main.php
136,괴산군청소년상담복지센터,28035,충청북도 괴산군,043-834-7944,http://www.goesan1388.or.kr 
137,음성군청소년상담복지센터,27703,충청북도 음성군,043-873-1320,www.es1388.or.kr
138,단양군청소년상담복지센터,27012,충청북도 단양군,043-420-3142,www.danyang.go.kr/dy1388
139,충청남도청소년상담복지센터,31100,충청남도 천안시 서북구,041-554-2130,https://www.cnyouth.or.kr/index_1388.php
140,천안시청소년상담복지센터,31129,충청남도 천안시 동남구,041-523-1318,www.cheonan.go.kr/teen.do 
141,공주시청소년상담복지센터,32546,충청남도 공주시,041-858-1318,http://www.gj1318.or.kr/main/editor/editor.action?q=8b4b2244a9f1020b1935127cfcc8b32fc3a78dece8961a9be534cb494a9fa7f1
142,보령시청소년상담복지센터,33466,충청남도 보령시,041-936-3893,http://www.dongmuya.or.kr/center/s01.html
143,아산시청소년상담복지센터,31513,충청남도 아산시,041-541-0039,http://www.asanyouth.or.kr
144,서산시청소년상담복지센터,31967,충청남도 서산시,041-669-2000,www.haemaum.com
145,논산시청소년상담복지센터,32993,충청남도 논산시,041-730-6041,https://www.nsyouth.or.kr/kr/html/sub05/050101.html
146,계룡시청소년상담복지센터,32829,충청남도 계룡시,042-841-0343,http://www.call1388.or.kr
147,당진시청소년상담복지센터,31772,충청남도 당진시,041-360-6963,https://www.dangjin.go.kr/dj1388/sub01_00.do
148,금산군청소년상담복지센터,32726,충청남도 금산군,041-751-1383,www.gs1388.or.kr
149,부여군청소년상담복지센터,33149,충청남도 부여군,041-836-1898,www.1388buyeo.or.kr/
150,서천군청소년상담복지센터,33644,충청남도 서천군,041-953-9799,www.sycw1388.co.kr
151,청양군청소년상담복지센터,33339,충청남도 청양군,041-942-1388,https://1388.청양군청소년재단.com/
152,홍성군청소년상담복지센터,32272,충청남도 홍성군 홍북읍 홍학로 48,041-634-4858,www.hsywf.or.kr
153,예산군청소년상담복지센터,32423,충청남도 예산군,041-335-5700,http://www.yesanyouth.or.kr/main_sub/sub.php?folder_idx=7&folder_page_idx=31
154,태안군청소년상담복지센터,32140,충청남도 태안군,041-674-2800,www.happy1388.or.kr
155,전라북도청소년상담복지센터,54935,전라북도 전주시 덕진구,063-274-1388,www.jb1388.kr
156,전주시청소년상담복지센터,55081,전라북도 전주시 완산구,063-227-1005,http://www.jjsangdam.or.kr/
157,군산시청소년상담복지센터,54121,전라북도 군산시,063-468-2870,www.gunsan0924.or.kr
158,익산시청소년상담복지센터,54620,전라북도 익산시,063-853-1388,http://iksan.go.kr/1388
159,정읍시청소년상담복지센터,56190,전라북도 정읍시,063-536-1388,https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103005005002
160,남원시청소년상담복지센터,55749,전라북도 남원시,063-633-1977,www.nw1388.com
161,김제시청소년상담복지센터,54368,전라북도 김제시,063-545-0112,http://youth.gimje.go.kr
162,완주군청소년상담복지센터,55340,전라북도 완주군,063-291-3303,http://www.wanju1388.or.kr 
163,진안군청소년상담복지센터,55432,전라북도 진안군,063-430-8073,www.ja1388.com
164,무주군청소년상담복지센터,55514,전라북도 무주군 무주읍 한풍루로 326-34,063-324-6688,https://cafe.daum.net/mj1388
165,장수군청소년상담복지센터,55631,전라북도 장수군,063-351-2000,https://www.facebook.com/%EC%9E%A5%EC%88%98%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-1605161036462040
166,임실군청소년상담복지센터,55927,전라북도 임실군,,https://cheongmoon.tistory.com/
167,순창군청소년상담복지센터,56047,전라북도 순창군,063-652-1388,www.sc1388.or.kr
168,고창군청소년상담복지센터,56431,전라북도 고창군,063-563-6793,https://www.gochang.go.kr/index.gochang?menuCd=DOM_000000104001006000
169,부안군청소년상담복지센터,56305,전라북도 부안군,063-580-4518,https://www.facebook.com/%EB%B6%80%EC%95%88%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-523538797837858
170,전라남도청소년상담복지센터,58564,전라남도 무안군,061-280-9005,www.jnyouth.or.kr
171,목포시청소년상담복지센터,58684,전라남도 목포시,061-272-2440,youth.mokpo.go.kr
172,여수시청소년상담복지센터,59761,전라남도 여수시,061-662-4646,www.ys1388.or.kr
173,순천시청소년상담복지센터,57992,전라남도 순천시,061-749-4232,www.sc1388dream.or.kr
174,나주시청소년상담복지센터,58254,전라남도 나주시,061-333-1368,www.nj1388.or.kr
175,광양시청소년상담복지센터,57790,전라남도 광양시,061-795-7008,www.gy1388.or.kr
176,담양군청소년상담복지센터,57344,전라남도 담양군,061-381-9845,www.dyy1388.or.kr
177,곡성군청소년상담복지센터,57504,전라남도 곡성군,061-363-9586,http://1388.gsyouth.kr/
178,구례군청소년상담복지센터,57636,전라남도 구례군,061-782-0882,http://www.gr1388.kr/
179,고흥군청소년상담복지센터,59535,전라남도 고흥군,061-830-6652,https://cafe.daum.net/HI1388
180,보성군청소년상담복지센터,59453,전라남도 보성군,061-853-1381,http://bs1388.co.kr
181,화순군청소년상담복지센터,58114,전라남도 화순군,061-375-7444,www.hs1388.or.kr
182,장흥군청소년상담복지센터,59327,전라남도 장흥군,061-863-1317,http://www.jh1388.or.kr
183,강진군청소년상담복지센터,59226,전라남도 강진군,061-432-1387,www.gjyouth.co.kr
184,해남군청소년상담복지센터,59028,전라남도 해남군,061-537-1318,http://www.hyouth1388.co.kr/
185,영암군청소년상담복지센터,58418,전라남도 영암군,061-470-1004,http://ya1388.or.kr/
186,무안군청소년상담복지센터,58517,전라남도 무안군,061-450-5530,https://www.muan.go.kr/www/information/welfare/child/youth_counsel
187,함평군청소년상담복지센터,57156,전라남도 함평군,061-323-9995,http://www.nownow1388.or.kr
188,영광군청소년상담복지센터,57047,전라남도 영광군,061-353-9188,www.yg1388.or.kr
189,장성군청소년상담복지센터,57222,전라남도 장성군,061-393-1388,www.js1388.or.kr
190,완도군청소년상담복지센터,59115,전라남도 완도군,061-555-1318,http://wd1388.or.kr/
191,진도군청소년상담복지센터,58927,전라남도 진도군,061-540-3156,http://cafe.naver.com/jindo1388
192,신안군청소년상담복지센터,58824,전라남도 신안군,061-240-8728,http://www.shinan1388.com/
193,경상북도청소년상담복지센터,36708,경상북도 안동시,054-850-1000,https://gb1388.or.kr:9027/
194,포항시청소년상담복지센터,37601,경상북도 포항시 북구,054-240-9140,http://www.phyf.or.kr
195,경주시청소년상담복지센터,38088,경상북도 경주시,054-760-7740,http://youth.gyeongju.go.kr/index.jsp
196,김천시청소년상담복지센터,39518,경상북도 김천시,054-431-2009,https://www.gc.go.kr/gcyouth/support/main.tc
197,안동시청소년상담복지센터,36708,경상북도 안동시,054-841-7933,www.ad1318.or.kr
198,구미시청소년상담복지센터,39221,경상북도 구미시,054-472-2000,www.youthcoc.org
199,영주시청소년상담복지센터,36073,경상북도 영주시,054-639-5865,http://yj1318.or.kr
200,영천시청소년상담복지센터,38844,경상북도 영천시,054-338-2000,https://www.yc.go.kr/depart/contents.do?mId=0605000000
201,상주시청소년상담복지센터,37195,경상북도 상주시,054-534-3511,http://www.sj7942.org/
202,문경시청소년상담복지센터,36949,경상북도 문경시,054-550-6600,https://www.gbmg.go.kr/portalsub/teen1318/main.do
203,경산시청소년상담복지센터,38627,경상북도 경산시,053-819-6400,http://gbgs.go.kr/special/young/index.do
204,군위군청소년상담복지센터,43113,대구광역시 군위군 군위읍 군청로 158,070-4922-8001,https://www.gunwi.go.kr/ko/page.do?mnu_uid=312&
205,의성군청소년상담복지센터,37331,경상북도 의성군,054-830-6947,http://counsel.usyouth.go.kr
206,청송군청소년상담복지센터,37433,경상북도 청송군,054-870-6696,www.youth1388.or.kr
207,영양군청소년상담복지센터,36540,경상북도 영양군,054-683-1387,www.yyg.go.kr/youth/yyg1388
208,영덕군청소년상담복지센터,36427,경상북도 영덕군,054-730-7371,https://www.facebook.com/영덕군청소년상담복지센터-1037698109644498/
209,청도군청소년상담복지센터,38333,경상북도 청도군,054-373-1611,http://cd1388.or.kr/
210,고령군청소년상담복지센터,40138,경상북도 고령군,054-956-1384,https://www.goryeong.go.kr/art/contents.do?IDX=138
211,성주군청소년상담복지센터,40031,경상북도 성주군,054-931-1397,
212,칠곡군청소년상담복지센터,39885,경상북도 칠곡군,054-971-0419,https://www.chilgok.go.kr/portal/contents.do?mId=0907070000
213,예천군청소년상담복지센터,36708,경상북도 예천군,054-650-8237,https://cafe.daum.net/yc2012
214,봉화군청소년상담복지센터,36238,경상북도 봉화군,054-673-1231,www.bhw1318.or.kr
215,울진군청소년상담복지센터,36324,경상북도 울진군,054-783-8284,http://www.uljin.go.kr/young/index.uljin?menuCd=DOM_000001502000000000
216,경상남도청소년상담복지센터,51138,경상남도 창원시 의창구,055-711-1388,http://gn1388.gnyouth.net/
217,창원시창원청소년상담복지센터,51412,경상남도 창원시 성산구,055-225-3901,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
218,창원시마산청소년상담복지센터,51358,경상남도 창원시 마산회원구,055-245-7941,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
219,창원시진해청소년상담복지센터,51629,경상남도 창원시 진해구,055-225-6812,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
220,진주시청소년상담복지센터,52686,경상남도 진주시,055-749-6222,https://www.jinju.go.kr/00134/00614/06444.web
221,통영시청소년상담복지센터,53017,경상남도 통영시,055-644-2000,www.tycoun.or.kr
222,사천시청소년상담복지센터,52561,경상남도 사천시,055-832-7942,https://youthsacheon.com/consulting_main.html
223,김해시청소년상담복지센터,50912,경상남도 김해시,055-330-4635,https://www.gimhae.go.kr/00976/01477/01479.web
224,김해시서부청소년상담복지센터,51016,경상남도 김해시,055-340-7181,https://www.gimhae.go.kr/00976/01477/01479.web
225,밀양시청소년상담복지센터,50436,경상남도 밀양시,055-352-7942,http://www.miryang1388.kr
226,거제시청소년상담복지센터,53246,경상남도 거제시,055-639-4981,http://counsel.geoje.go.kr
227,양산시청소년상담복지센터,50620,경상남도 양산시,055-372-2000,http://www.yangsan.go.kr/teen/main.do
228,의령군청소년상담복지센터,52151,경상남도 의령군,055-570-4971,
229,함안군청소년상담복지센터,52046,경상남도 함안군,055-584-0924,http://www.haman1388.or.kr/ 
230,창녕군청소년상담복지센터,50332,경상남도 창녕군,055-533-4288,https://www.cng.go.kr/life/cn1388.web
231,고성군청소년상담복지센터,52932,경상남도 고성군,055-673-7942,http://www.gsyon.or.kr/biz/welfare.php
232,남해군청소년상담복지센터,52419,경상남도 남해군,055-860-3885,https://www.namhae.go.kr/welfare/Index.do?c=WL0205010100
233,하동군청소년상담복지센터,52326,경상남도 하동군,055-880-6039,https://www.hadong.go.kr/specialty/00214/00343.web 
234,산청군청소년상담복지센터,52226,경상남도 산청군,055-970-6591,https://www.sccl.ne.kr/welfare/contents.do?key=5188
235,함양군청소년상담복지센터,50034,경상남도 함양군,055-960-5157,https://www.hygn.go.kr/specialty/welfare/03067.web
236,거창군청소년상담복지센터,50130,경상남도 거창군,055-940-8860,http://www.geochang.go.kr/youth/Index.do?c=YU0401000000
237,합천군청소년상담복지센터,50231,경상남도 합천군,055-930-3911,http://www.hc.go.kr/05750/05766/05803.web
238,제주특별자치도청소년상담복지센터,63222,제주특별자치도 제주시,064-759-9950,www.jeju1388.or.kr
239,서귀포시청소년상담복지센터,63590,제주특별자치도 서귀포시,064-763-9190,http://www.seogwipo.go.kr/youths/counseling/index.htm
240,제주시청소년상담복지센터,63096,제주특별자치도 제주시 월랑북길 38 (노형동),064-725-7999,www.제주시1388.한국
241,시립청소년미디어센터,4322,서울특별시 용산구 한강대로 255(갈월동),02-795-8000,
242,시립마포인터넷중독예방상담센터,3937,서울특별시 마포구 월드컵로 212(성산동),02-3153-5981,
243,시립강서인터넷중독예방상담센터,7650,서울특별시 강서구 우장산로 117(화곡동),02-2025-4733,
244,시립광진인터넷중독예방상담센터,4970,서울특별시 광진구 구천면로 2(광장동),02-2204-3180,
245,시립창동인터넷중독예방상담센터,1412,서울특별시 도봉구 노해로69길 132(창동),02-6953-4070,http://www.cdiwill.or.kr
246,시립보라매인터넷중독예방상담센터,7062,서울특별시 동작구 여의대방로20길 61(신대방동),02-836-1385,
247,시립강북인터넷중독예방상담센터,1077,서울특별시 강북구 삼각산로 158(수유동),02-912-6410,
